weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W22,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,EXPRESS CHINESE RESTAURANT,56064,34251,&Chinese Pot Kitchen,0.0,6.03
2026-W22,KE,Nairobi,Sharon Chebet,SMB,engagement,EXPRESS CHINESE RESTAURANT,56064,34251,&Chinese Pot Kitchen,1.99,1.99
2026-W16,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,EXPRESS CHINESE RESTAURANT,56064,34251,&Chinese Pot Kitchen,0.0,20.77
2026-W20,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_portal,DRIP BURGERS,101471,40416,&Drip Burgers,0.0,4.13
2026-W19,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_ELC_merchant,I A G FRIES - IMARA ARCADE,201289,62270,&Intelligence Agriculture Growth,7.27,0.0
2026-W19,KE,Nairobi,Sharon Chebet,SMB,activation,I A G FRIES - IMARA ARCADE,201289,62270,&Intelligence Agriculture Growth,0.38,0.0
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,other,CHICKING,175443,130956,CHICKING Nairobi,3.81,0.0
2026-W19,KE,Nairobi,Serahwinfred Muoki,SMB,activation,PIZZA PLANET,27443,19009,& Pizza Planet,5.99,0.0
2026-W22,KE,Nairobi,Wambui Kogi,Mid-market,sp_activation,ROZINAS RESTAURANT,14152,9016,&Rozina's Restaurant,14.8,44.39
2026-W22,KE,Nairobi,Kevin Wawire,Mid-market,sp_fully_funded,CHICKING,175443,130956,CHICKING Nairobi,0.0,8.03
2026-W20,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,61344,12025,&Kuku Foods/KFC,3.32,0.0
2026-W20,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_locations,JAJEMELO PIZZA,81670,29060,&Jajemelo Pizza,0.0,27.51
2026-W13,KE,Nairobi,Wambui Kogi,Mid-market,engagement,ROZINAS RESTAURANT,14152,9016,&Rozina's Restaurant,19.71,19.71
2026-W13,KE,Nairobi,Michael Karigithu,Enterprise,other,KFC,61344,12025,&Kuku Foods/KFC,0.33,0.0
